ANIO,DPTO_CCDGO,DPTO_CNMBR,COBERTURA
2009,5,ANTIOQUIA,95
2009,8,ATLÁNTICO,91
2009,11,BOGOTÁ,92
2009,13,BOLÍVAR,92
2009,15,BOYACÁ,83
2009,17,CALDAS,86
2009,18,CAQUETÁ,89
2009,19,CAUCA,90
2009,20,CESAR,90
2009,23,CÓRDOBA,96
2009,25,CUNDINAMARCA,91
2009,27,CHOCÓ,84
2009,41,HUILA,91
2009,44,LAGUAJIRA,79
2009,47,MAGDALENA,98
2009,50,META,93
2009,52,NARIÑO,85
2009,54,NORTEDESANTANDER,86
2009,63,QUINDÍO,90
2009,66,RISARALDA,91
2009,68,SANTANDER,88
2009,70,SUCRE,99
2009,73,TOLIMA,87
2009,76,VALLEDELCAUCA,89
2009,81,ARAUCA,72
2009,85,CASANARE,100
2009,86,PUTUMAYO,82
2009,88,SANANDRÉSYPROVIDENCIA,68
2009,91,AMAZONAS,83
2009,94,GUAINÍA,72
2009,95,GUAVIARE,80
2009,97,VAUPÉS,65
2009,99,VICHADA,87
2010,5,ANTIOQUIA,94
2010,8,ATLÁNTICO,96
2010,11,BOGOTÁ,89
2010,13,BOLÍVAR,90
2010,15,BOYACÁ,82
2010,17,CALDAS,84
2010,18,CAQUETÁ,87
2010,19,CAUCA,89
2010,20,CESAR,90
2010,23,CÓRDOBA,94
2010,25,CUNDINAMARCA,87
2010,27,CHOCÓ,83
2010,41,HUILA,92
2010,44,LAGUAJIRA,83
2010,47,MAGDALENA,97
2010,50,META,90
2010,52,NARIÑO,84
2010,54,NORTEDESANTANDER,86
2010,63,QUINDÍO,86
2010,66,RISARALDA,91
2010,68,SANTANDER,91
2010,70,SUCRE,100
2010,73,TOLIMA,85
2010,76,VALLEDELCAUCA,89
2010,81,ARAUCA,73
2010,85,CASANARE,100
2010,86,PUTUMAYO,83
2010,88,SANANDRÉSYPROVIDENCIA,68
2010,91,AMAZONAS,83
2010,94,GUAINÍA,71
2010,95,GUAVIARE,67
2010,97,VAUPÉS,65
2010,99,VICHADA,84
2011,5,ANTIOQUIA,94
2011,8,ATLÁNTICO,99
2011,11,BOGOTÁ,87
2011,13,BOLÍVAR,91
2011,15,BOYACÁ,83
2011,17,CALDAS,84
2011,18,CAQUETÁ,90
2011,19,CAUCA,88
2011,20,CESAR,95
2011,23,CÓRDOBA,93
2011,25,CUNDINAMARCA,88
2011,27,CHOCÓ,86
2011,41,HUILA,92
2011,44,LAGUAJIRA,75
2011,47,MAGDALENA,91
2011,50,META,92
2011,52,NARIÑO,80
2011,54,NORTEDESANTANDER,91
2011,63,QUINDÍO,86
2011,66,RISARALDA,93
2011,68,SANTANDER,93
2011,70,SUCRE,101
2011,73,TOLIMA,86
2011,76,VALLEDELCAUCA,87
2011,81,ARAUCA,71
2011,85,CASANARE,99
2011,86,PUTUMAYO,82
2011,88,SANANDRÉSYPROVIDENCIA,68
2011,91,AMAZONAS,87
2011,94,GUAINÍA,74
2011,95,GUAVIARE,65
2011,97,VAUPÉS,65
2011,99,VICHADA,74
2012,5,ANTIOQUIA,93
2012,8,ATLÁNTICO,89
2012,11,BOGOTÁ,84
2012,13,BOLÍVAR,88
2012,15,BOYACÁ,81
2012,17,CALDAS,81
2012,18,CAQUETÁ,86
2012,19,CAUCA,85
2012,20,CESAR,94
2012,23,CÓRDOBA,92
2012,25,CUNDINAMARCA,88
2012,27,CHOCÓ,83
2012,41,HUILA,93
2012,44,LAGUAJIRA,72
2012,47,MAGDALENA,87
2012,50,META,92
2012,52,NARIÑO,78
2012,54,NORTEDESANTANDER,90
2012,63,QUINDÍO,83
2012,66,RISARALDA,91
2012,68,SANTANDER,93
2012,70,SUCRE,95
2012,73,TOLIMA,86
2012,76,VALLEDELCAUCA,86
2012,81,ARAUCA,71
2012,85,CASANARE,102
2012,86,PUTUMAYO,79
2012,88,SANANDRÉSYPROVIDENCIA,70
2012,91,AMAZONAS,86
2012,94,GUAINÍA,73
2012,95,GUAVIARE,58
2012,97,VAUPÉS,63
2012,99,VICHADA,67
2013,5,ANTIOQUIA,92
2013,8,ATLÁNTICO,83
2013,11,BOGOTÁ,79
2013,13,BOLÍVAR,88
2013,15,BOYACÁ,82
2013,17,CALDAS,78
2013,18,CAQUETÁ,82
2013,19,CAUCA,85
2013,20,CESAR,93
2013,23,CÓRDOBA,92
2013,25,CUNDINAMARCA,85
2013,27,CHOCÓ,83
2013,41,HUILA,91
2013,44,LAGUAJIRA,72
2013,47,MAGDALENA,90
2013,50,META,94
