ANIO,DPTO_CCDGO,DPTO_CNMBR,COBERTURA
2009,5000,ANTIOQUIA,74 
2009,8000,ATLÁNTICO,71 
2009,11001,BOGOTÁ,86 
2009,13000,BOLÍVAR,66 
2009,15000,BOYACÁ,74 
2009,17000,CALDAS,73 
2009,18000,CAQUETÁ,53 
2009,19000,CAUCA,58 
2009,20000,CESAR,60 
2009,23000,CÓRDOBA,66 
2009,25000,CUNDINAMARCA,78 
2009,27000,CHOCÓ,39 
2009,41000,HUILA,68 
2009,44000,LA GUAJIRA,43 
2009,47000,MAGDALENA,68 
2009,50000,META,75 
2009,52000,NARIÑO,53 
2009,54000,NORTE DE SANTANDER,64 
2009,63000,QUINDÍO,78 
2009,66000,RISARALDA,72 
2009,68000,SANTANDER,74 
2009,70000,SUCRE,70 
2009,73000,TOLIMA,69 
2009,76000,VALLE DEL CAUCA,72 
2009,81000,ARAUCA,57 
2009,85000,CASANARE,76 
2009,86000,PUTUMAYO,52 
2009,88000,SAN ANDRÉS Y PROVIDENCIA,59 
2009,91000,AMAZONAS,42 
2009,94000,GUAINÍA,27 
2009,95000,GUAVIARE,40 
2009,97000,VAUPÉS,27 
2009,99000,VICHADA,34 
2010,5000,ANTIOQUIA,75 
2010,8000,ATLÁNTICO,75 
2010,11001,BOGOTÁ,85 
2010,13000,BOLÍVAR,66 
2010,15000,BOYACÁ,74 
2010,17000,CALDAS,72 
2010,18000,CAQUETÁ,52 
2010,19000,CAUCA,60 
2010,20000,CESAR,61 
2010,23000,CÓRDOBA,67 
2010,25000,CUNDINAMARCA,78 
2010,27000,CHOCÓ,38 
2010,41000,HUILA,71 
2010,44000,LA GUAJIRA,42 
2010,47000,MAGDALENA,66 
2010,50000,META,73 
2010,52000,NARIÑO,54 
2010,54000,NORTE DE SANTANDER,64 
2010,63000,QUINDÍO,77 
2010,66000,RISARALDA,73 
2010,68000,SANTANDER,76 
2010,70000,SUCRE,72 
2010,73000,TOLIMA,69 
2010,76000,VALLE DEL CAUCA,72 
2010,81000,ARAUCA,56 
2010,85000,CASANARE,79 
2010,86000,PUTUMAYO,53 
2010,88000,SAN ANDRÉS Y PROVIDENCIA,59 
2010,91000,AMAZONAS,45 
2010,94000,GUAINÍA,26 
2010,95000,GUAVIARE,42 
2010,97000,VAUPÉS,26 
2010,99000,VICHADA,34 
2011,5000,ANTIOQUIA,76 
2011,8000,ATLÁNTICO,80 
2011,11001,BOGOTÁ,85 
2011,13000,BOLÍVAR,67 
2011,15000,BOYACÁ,75 
2011,17000,CALDAS,73 
2011,18000,CAQUETÁ,57 
2011,19000,CAUCA,62 
2011,20000,CESAR,66 
2011,23000,CÓRDOBA,69 
2011,25000,CUNDINAMARCA,81 
2011,27000,CHOCÓ,41 
2011,41000,HUILA,74 
2011,44000,LA GUAJIRA,42 
2011,47000,MAGDALENA,67 
2011,50000,META,76 
2011,52000,NARIÑO,54 
2011,54000,NORTE DE SANTANDER,66 
2011,63000,QUINDÍO,80 
2011,66000,RISARALDA,76 
2011,68000,SANTANDER,77 
2011,70000,SUCRE,76 
2011,73000,TOLIMA,72 
2011,76000,VALLE DEL CAUCA,72 
2011,81000,ARAUCA,55 
2011,85000,CASANARE,83 
2011,86000,PUTUMAYO,56 
2011,88000,SAN ANDRÉS Y PROVIDENCIA,59 
2011,91000,AMAZONAS,51 
2011,94000,GUAINÍA,29 
2011,95000,GUAVIARE,45 
2011,97000,VAUPÉS,29 
2011,99000,VICHADA,33 
2012,5000,ANTIOQUIA,75 
2012,8000,ATLÁNTICO,77 
2012,11001,BOGOTÁ,81 
2012,13000,BOLÍVAR,68 
2012,15000,BOYACÁ,75 
2012,17000,CALDAS,72 
2012,18000,CAQUETÁ,56 
2012,19000,CAUCA,61 
2012,20000,CESAR,69 
2012,23000,CÓRDOBA,72 
2012,25000,CUNDINAMARCA,82 
2012,27000,CHOCÓ,42 
2012,41000,HUILA,74 
2012,44000,LA GUAJIRA,42 
2012,47000,MAGDALENA,65 
2012,50000,META,76 
2012,52000,NARIÑO,54 
2012,54000,NORTE DE SANTANDER,64 
2012,63000,QUINDÍO,79 
2012,66000,RISARALDA,75 
2012,68000,SANTANDER,78 
2012,70000,SUCRE,74 
2012,73000,TOLIMA,72 
2012,76000,VALLE DEL CAUCA,71 
2012,81000,ARAUCA,54 
2012,85000,CASANARE,85 
2012,86000,PUTUMAYO,57 
2012,88000,SAN ANDRÉS Y PROVIDENCIA,61 
2012,91000,AMAZONAS,53 
2012,94000,GUAINÍA,28 
2012,95000,GUAVIARE,44 
2012,97000,VAUPÉS,32 
2012,99000,VICHADA,33 
2013,5000,ANTIOQUIA,76 
2013,8000,ATLÁNTICO,74 
2013,11001,BOGOTÁ,80 
2013,13000,BOLÍVAR,70 
2013,15000,BOYACÁ,75 
2013,17000,CALDAS,71 
2013,18000,CAQUETÁ,56 
2013,19000,CAUCA,63 
2013,20000,CESAR,71 
2013,23000,CÓRDOBA,73 
2013,25000,CUNDINAMARCA,82 
2013,27000,CHOCÓ,44 
2013,41000,HUILA,75 
2013,44000,LA GUAJIRA,43 
2013,47000,MAGDALENA,69 
2013,50000,META,77 
2013,52000,NARIÑO,56 
2013,54000,NORTE DE SANTANDER,66 
2013,63000,QUINDÍO,78 
2013,66000,RISARALDA,75 
2013,68000,SANTANDER,80 
2013,70000,SUCRE,75 
2013,73000,TOLIMA,73 
2013,76000,VALLE DEL CAUCA,71 
2013,81000,ARAUCA,54 
2013,85000,CASANARE,85 
2013,86000,PUTUMAYO,60 
2013,88000,SAN ANDRÉS Y PROVIDENCIA,62 
2013,91000,AMAZONAS,58 
2013,94000,GUAINÍA,30 
2013,95000,GUAVIARE,44 
2013,97000,VAUPÉS,33 
2013,99000,VICHADA,37 
2014,5000,ANTIOQUIA,75 
2014,8000,ATLÁNTICO,75 
2014,11001,BOGOTÁ,75 
2014,13000,BOLÍVAR,71 
2014,15000,BOYACÁ,75 
2014,17000,CALDAS,71 
2014,18000,CAQUETÁ,57 
2014,19000,CAUCA,65 
2014,20000,CESAR,75 
2014,23000,CÓRDOBA,75 
2014,25000,CUNDINAMARCA,81 
2014,27000,CHOCÓ,48 
2014,41000,HUILA,76 
2014,44000,LA GUAJIRA,45 
2014,47000,MAGDALENA,68 
2014,50000,META,79 
2014,52000,NARIÑO,57 
2014,54000,NORTE DE SANTANDER,68 
2014,63000,QUINDÍO,78 
2014,66000,RISARALDA,76 
2014,68000,SANTANDER,82 
2014,70000,SUCRE,76 
2014,73000,TOLIMA,73 
2014,76000,VALLE DEL CAUCA,71 
2014,81000,ARAUCA,55 
2014,85000,CASANARE,85 
2014,86000,PUTUMAYO,63 
2014,88000,SAN ANDRÉS Y PROVIDENCIA,61 
2014,91000,AMAZONAS,58 
2014,94000,GUAINÍA,34 
2014,95000,GUAVIARE,43 
2014,97000,VAUPÉS,34 
2014,99000,VICHADA,36 
2015,5000,ANTIOQUIA,74 
2015,8000,ATLÁNTICO,74 
2015,11001,BOGOTÁ,75 
2015,13000,BOLÍVAR,71 
2015,15000,BOYACÁ,74 
2015,17000,CALDAS,69 
2015,18000,CAQUETÁ,55 
2015,19000,CAUCA,63 
2015,20000,CESAR,74 
2015,23000,CÓRDOBA,72 
2015,25000,CUNDINAMARCA,81 
2015,27000,CHOCÓ,47 
2015,41000,HUILA,75 
2015,44000,LA GUAJIRA,45 
2015,47000,MAGDALENA,69 
2015,50000,META,76 
2015,52000,NARIÑO,56 
2015,54000,NORTE DE SANTANDER,69 
2015,63000,QUINDÍO,76 
2015,66000,RISARALDA,77 
2015,68000,SANTANDER,82 
2015,70000,SUCRE,73 
2015,73000,TOLIMA,72 
2015,76000,VALLE DEL CAUCA,70 
2015,81000,ARAUCA,56 
2015,85000,CASANARE,83 
2015,86000,PUTUMAYO,63 
2015,88000,SAN ANDRÉS Y PROVIDENCIA,60 
2015,91000,AMAZONAS,59 
2015,94000,GUAINÍA,36 
2015,95000,GUAVIARE,41 
2015,97000,VAUPÉS,36 
2015,99000,VICHADA,35 
2016,5000,ANTIOQUIA,74 
2016,8000,ATLÁNTICO,75 
2016,11001,BOGOTÁ,73 
2016,13000,BOLÍVAR,71 
2016,15000,BOYACÁ,75 
2016,17000,CALDAS,69 
2016,18000,CAQUETÁ,55 
2016,19000,CAUCA,65 
2016,20000,CESAR,75 
2016,23000,CÓRDOBA,73 
2016,25000,CUNDINAMARCA,80 
2016,27000,CHOCÓ,48 
2016,41000,HUILA,73 
2016,44000,LA GUAJIRA,46 
2016,47000,MAGDALENA,69 
2016,50000,META,77 
2016,52000,NARIÑO,57 
2016,54000,NORTE DE SANTANDER,71 
2016,63000,QUINDÍO,75 
2016,66000,RISARALDA,76 
2016,68000,SANTANDER,83 
2016,70000,SUCRE,74 
2016,73000,TOLIMA,71 
2016,76000,VALLE DEL CAUCA,70 
2016,81000,ARAUCA,57 
2016,85000,CASANARE,82 
2016,86000,PUTUMAYO,64 
2016,88000,SAN ANDRÉS Y PROVIDENCIA,60 
2016,91000,AMAZONAS,60 
2016,94000,GUAINÍA,36 
2016,95000,GUAVIARE,42 
2016,97000,VAUPÉS,38 
2016,99000,VICHADA,35 
2017,5000,ANTIOQUIA,74 
2017,8000,ATLÁNTICO,77 
2017,11001,BOGOTÁ,71 
2017,13000,BOLÍVAR,73 
2017,15000,BOYACÁ,75 
2017,17000,CALDAS,69 
2017,18000,CAQUETÁ,56 
2017,19000,CAUCA,67 
2017,20000,CESAR,77 
2017,23000,CÓRDOBA,73 
2017,25000,CUNDINAMARCA,82 
2017,27000,CHOCÓ,49 
2017,41000,HUILA,73 
2017,44000,LA GUAJIRA,47 
2017,47000,MAGDALENA,70 
2017,50000,META,77 
2017,52000,NARIÑO,57 
2017,54000,NORTE DE SANTANDER,74 
2017,63000,QUINDÍO,73 
2017,66000,RISARALDA,76 
2017,68000,SANTANDER,85 
2017,70000,SUCRE,76 
2017,73000,TOLIMA,72 
2017,76000,VALLE DEL CAUCA,71 
2017,81000,ARAUCA,58 
2017,85000,CASANARE,82 
2017,86000,PUTUMAYO,64 
2017,88000,SAN ANDRÉS Y PROVIDENCIA,60 
2017,91000,AMAZONAS,62 
2017,94000,GUAINÍA,37 
2017,95000,GUAVIARE,44 
2017,97000,VAUPÉS,40 
2017,99000,VICHADA,34 
2018,5000,ANTIOQUIA,74 
2018,8000,ATLÁNTICO,78 
2018,11001,BOGOTÁ,71 
2018,13000,BOLÍVAR,75 
2018,15000,BOYACÁ,77 
2018,17000,CALDAS,68 
2018,18000,CAQUETÁ,55 
2018,19000,CAUCA,69 
2018,20000,CESAR,79 
2018,23000,CÓRDOBA,74 
2018,25000,CUNDINAMARCA,83 
2018,27000,CHOCÓ,51 
2018,41000,HUILA,73 
2018,44000,LA GUAJIRA,48 
2018,47000,MAGDALENA,72 
2018,50000,META,78 
2018,52000,NARIÑO,57 
2018,54000,NORTE DE SANTANDER,76 
2018,63000,QUINDÍO,72 
2018,66000,RISARALDA,76 
2018,68000,SANTANDER,87 
2018,70000,SUCRE,78 
2018,73000,TOLIMA,73 
2018,76000,VALLE DEL CAUCA,71 
2018,81000,ARAUCA,61 
2018,85000,CASANARE,82 
2018,86000,PUTUMAYO,64 
2018,88000,SAN ANDRÉS Y PROVIDENCIA,61 
2018,91000,AMAZONAS,62 
2018,94000,GUAINÍA,39 
2018,95000,GUAVIARE,44 
2018,97000,VAUPÉS,38 
2018,99000,VICHADA,36 
2019,5000,ANTIOQUIA,83 
2019,8000,ATLÁNTICO,77 
2019,11001,BOGOTÁ,88 
2019,13000,BOLÍVAR,81 
2019,15000,BOYACÁ,90 
2019,17000,CALDAS,77 
2019,18000,CAQUETÁ,69 
2019,19000,CAUCA,69 
2019,20000,CESAR,71 
2019,23000,CÓRDOBA,79 
2019,25000,CUNDINAMARCA,86 
2019,27000,CHOCÓ,53 
2019,41000,HUILA,81 
2019,44000,LA GUAJIRA,58 
2019,47000,MAGDALENA,74 
2019,50000,META,80 
2019,52000,NARIÑO,69 
2019,54000,NORTE DE SANTANDER,76 
2019,63000,QUINDÍO,88 
2019,66000,RISARALDA,86 
2019,68000,SANTANDER,85 
2019,70000,SUCRE,76 
2019,73000,TOLIMA,85 
2019,76000,VALLE DEL CAUCA,73 
2019,81000,ARAUCA,73 
2019,85000,CASANARE,81 
2019,86000,PUTUMAYO,72 
2019,88000,SAN ANDRÉS Y PROVIDENCIA,82 
2019,91000,AMAZONAS,61 
