DIA,HORA,ACCIDENTE
LUNES,0,30
LUNES,1,22
LUNES,2,20
LUNES,3,27
LUNES,4,38
LUNES,5,124
LUNES,6,201
LUNES,7,243
LUNES,8,230
LUNES,9,198
LUNES,10,216
LUNES,11,227
LUNES,12,244
LUNES,13,234
LUNES,14,264
LUNES,15,233
LUNES,16,227
LUNES,17,237
LUNES,18,210
LUNES,19,213
LUNES,20,191
LUNES,21,123
LUNES,22,93
LUNES,23,55
MARTES,0,32
MARTES,1,19
MARTES,2,14
MARTES,3,19
MARTES,4,36
MARTES,5,129
MARTES,6,244
MARTES,7,289
MARTES,8,271
MARTES,9,241
MARTES,10,255
MARTES,11,272
MARTES,12,260
MARTES,13,278
MARTES,14,289
MARTES,15,258
MARTES,16,246
MARTES,17,251
MARTES,18,241
MARTES,19,246
MARTES,20,208
MARTES,21,141
MARTES,22,100
MARTES,23,60
MIÉRCOLES,0,34
MIÉRCOLES,1,23
MIÉRCOLES,2,20
MIÉRCOLES,3,23
MIÉRCOLES,4,42
MIÉRCOLES,5,122
MIÉRCOLES,6,232
MIÉRCOLES,7,287
MIÉRCOLES,8,257
MIÉRCOLES,9,239
MIÉRCOLES,10,240
MIÉRCOLES,11,249
MIÉRCOLES,12,257
MIÉRCOLES,13,250
MIÉRCOLES,14,271
MIÉRCOLES,15,239
MIÉRCOLES,16,244
MIÉRCOLES,17,248
MIÉRCOLES,18,227
MIÉRCOLES,19,234
MIÉRCOLES,20,195
MIÉRCOLES,21,145
MIÉRCOLES,22,99
MIÉRCOLES,23,73
JUEVES,0,42
JUEVES,1,30
JUEVES,2,24
JUEVES,3,25
JUEVES,4,41
JUEVES,5,124
JUEVES,6,225
JUEVES,7,278
JUEVES,8,260
JUEVES,9,231
JUEVES,10,235
JUEVES,11,252
JUEVES,12,254
JUEVES,13,260
JUEVES,14,278
JUEVES,15,226
JUEVES,16,229
JUEVES,17,245
JUEVES,18,215
JUEVES,19,222
JUEVES,20,199
JUEVES,21,151
JUEVES,22,114
JUEVES,23,76
VIERNES,0,53
VIERNES,1,36
VIERNES,2,31
VIERNES,3,33
VIERNES,4,50
VIERNES,5,136
VIERNES,6,230
VIERNES,7,266
VIERNES,8,250
VIERNES,9,236
VIERNES,10,247
VIERNES,11,262
VIERNES,12,269
VIERNES,13,290
VIERNES,14,298
VIERNES,15,272
VIERNES,16,262
VIERNES,17,251
VIERNES,18,229
VIERNES,19,237
VIERNES,20,227
VIERNES,21,172
VIERNES,22,138
VIERNES,23,108
SÁBADO,0,74
SÁBADO,1,65
SÁBADO,2,55
SÁBADO,3,68
SÁBADO,4,64
SÁBADO,5,100
SÁBADO,6,150
SÁBADO,7,195
SÁBADO,8,217
SÁBADO,9,208
SÁBADO,10,224
SÁBADO,11,249
SÁBADO,12,265
SÁBADO,13,288
SÁBADO,14,290
SÁBADO,15,274
SÁBADO,16,256
SÁBADO,17,228
SÁBADO,18,182
SÁBADO,19,219
SÁBADO,20,214
SÁBADO,21,172
SÁBADO,22,134
SÁBADO,23,96
DOMINGO,0,78
DOMINGO,1,57
DOMINGO,2,55
DOMINGO,3,73
DOMINGO,4,61
DOMINGO,5,67
DOMINGO,6,90
DOMINGO,7,103
DOMINGO,8,102
DOMINGO,9,110
DOMINGO,10,137
DOMINGO,11,143
DOMINGO,12,163
DOMINGO,13,190
DOMINGO,14,193
DOMINGO,15,180
DOMINGO,16,164
DOMINGO,17,149
DOMINGO,18,132
DOMINGO,19,148
DOMINGO,20,146
DOMINGO,21,111
DOMINGO,22,82
DOMINGO,23,54
