DIA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
1,28,85,92,72,49,93,70,77,84,96,85,93
2,40,77,97,66,84,87,67,80,91,94,80,80
3,48,94,96,67,81,76,76,83,96,96,97,96
4,55,80,98,70,80,78,77,84,95,80,86,87
5,54,75,92,77,72,89,78,76,83,90,76,99
6,45,90,94,74,80,78,91,84,85,84,85,101
7,49,84,89,77,82,80,84,55,83,77,96,113
8,49,88,88,77,85,91,75,83,93,85,95,63
9,58,86,96,82,82,76,85,76,75,86,91,92
10,58,84,82,68,79,79,76,88,76,88,92,92
11,51,95,90,69,95,80,79,81,81,82,84,98
12,67,87,94,64,77,79,73,81,94,77,76,97
13,70,95,99,79,81,83,82,87,80,87,84,86
14,64,88,83,70,75,74,76,82,95,71,92,94
15,76,82,88,73,87,79,80,86,89,75,88,89
16,75,87,92,70,86,83,82,77,86,74,82,92
17,68,86,86,71,79,81,94,83,91,78,91,91
18,72,86,83,69,79,76,87,82,88,88,90,98
19,75,86,84,68,80,76,85,79,93,89,97,101
20,69,96,80,76,84,80,53,78,83,96,95,91
21,72,84,78,74,78,77,84,80,95,89,91,102
22,76,85,74,74,82,80,85,85,81,84,81,89
23,77,96,74,67,75,76,74,81,78,87,84,89
24,71,84,69,81,81,73,75,89,80,95,88,81
25,83,86,63,81,88,83,84,79,87,89,99,40
26,78,93,72,80,80,81,76,81,90,96,87,77
27,83,103,72,86,82,78,86,85,83,99,93,72
28,81,87,72,76,83,74,81,89,97,92,100,73
29,86,105,70,79,76,71,83,97,82,96,99,65
30,87,0,70,79,75,75,82,85,88,93,101,60
31,78,0,70,0,85,0,89,94,0,105,0,50
